match_id,date,team_1,team_2,venue,substitute_player,event,player_out,dismissal_kind
501207,2011-04-13,Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,NL McCullum,substitute fielder,S Sreesanth,run out
501209,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,FY Fazal,substitute fielder,MS Bisla,run out
501226,2011-04-25,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",A Mukund,substitute fielder,JE Taylor,run out
501230,2011-04-28,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Shakib Al Hasan,substitute fielder,TR Birt,caught
501236,2011-05-01,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",F du Plessis,substitute fielder,CL White,caught
501247,2011-05-08,Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,KB Arun Karthik,substitute fielder,BB McCullum,caught
548318,2012-04-12,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",TM Dilshan,substitute fielder,MS Dhoni,caught
548336,2012-04-23,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,LA Pomersbach,substitute fielder,AM Rahane,caught
548341,2012-04-26,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,DJ Harris,substitute fielder,JD Ryder,caught
548342,2012-04-27,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,NLTC Perera,substitute fielder,IK Pathan,caught
548343,2012-04-28,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",P Dogra,substitute fielder,S Badrinath,caught
548348,2012-05-01,Deccan Chargers,Pune Warriors,Barabati Stadium,DJ Harris,substitute fielder,RV Uthappa,caught
548350,2012-05-02,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,DA Miller,substitute fielder,CH Gayle,caught
548355,2012-05-06,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,WP Saha,substitute fielder,Harbhajan Singh,caught
548375,2012-05-19,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,LR Shukla,substitute fielder,WD Parnell,caught
548376,2012-05-20,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",KP Appanna,substitute fielder,JP Duminy,caught
548378,2012-05-22,Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,PJ Sangwan,substitute fielder,LRPL Taylor,caught
598008,2013-04-11,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,DT Christian,substitute fielder,EJG Morgan,caught
598029,2013-04-24,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,BB McCullum,substitute fielder,DR Smith,caught
598071,2013-05-22,Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,R Shukla,substitute fielder,DJG Sammy,run out
598073,2013-05-26,Chennai Super Kings,Mumbai Indians,Eden Gardens,AR Patel,substitute fielder,R Ashwin,caught
729293,2014-04-21,Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium,WD Parnell,substitute fielder,BB McCullum,caught
729309,2014-04-27,Delhi Daredevils,Mumbai Indians,Sharjah Cricket Stadium,AV Wankhade,substitute fielder,JP Duminy,caught
733977,2014-05-04,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,MC Henriques,substitute fielder,Yuvraj Singh,caught
